centroid_col	centroid_row	timepoint	position_number	centroidNibble_w2Cy5_5	meanIntensity_w2Cy5_5	totalIntensity_w2Cy5_5	centroidNibble_w7YFP	meanIntensity_w7YFP	totalIntensity_w7YFP	area	solidity	group_number	relative_time
281	276	27	4	36.4202898550725	12.3416046319272	14921	47.9855072463768	21.7287014061208	26270	1209	0.988552739165985	1	28149.1199992597
296	135	27	4	37.8550724637681	14.3091849935317	22122	12.768115942029	6.3143596377749	9762	1546	0.987228607918263	1	28149.1199992597
334	194	27	4	53.5072463768116	16.8170391061453	24082	63.0434782608696	25.5837988826816	36636	1432	0.98554714384033	1	28149.1199992597
351	309	27	4	35.5072463768116	13.322505800464	17226	43.3623188405797	16.7517401392111	21660	1293	0.98928844682479	1	28149.1199992597
351	427	27	4	50.4927536231884	15.6400580551524	21552	61.6376811594203	21.3824383164006	29465	1378	0.987813620071685	1	28149.1199992597
354	244	27	4	49.463768115942	15.8967551622419	21556	43	17.1445427728614	23248	1356	0.989059080962801	1	28149.1199992597
347	465	27	4	8.23188405797102	4.8125	1232	3.27536231884058	1.765625	452	256	0.992248062015504	1	28149.1199992597
370	379	27	4	17.8695652173913	11.3616140713916	21962	11.8405797101449	7.42007242628039	14343	1933	0.94384765625	1	28149.1199992597
385	429	27	4	6.69565217391304	5.83557692307692	6069	14.8840579710145	10.5221153846154	10943	1040	0.972871842843779	1	28149.1199992597
427	285	27	4	29.2028985507246	11.0907284768212	16747	17.5072463768116	12.4907284768212	18861	1510	0.988867059593975	1	28149.1199992597
436	461	27	4	60.8550724637681	16.6072984749455	30491	89.8115942028986	30.1644880174292	55382	1836	0.986566362170876	1	28149.1199992597
437	503	27	4	9.04347826086957	7.10469314079422	3936	19.4347826086956	11.158844765343	6182	554	0.982269503546099	1	28149.1199992597
470	259	27	4	46.3478260869565	14.1747088186356	17038	29.231884057971	11.6297836938436	13979	1202	0.988486842105263	1	28149.1199992597
491	487	27	4	66.2898550724638	20.0160975609756	41033	10.4202898550725	6.85219512195122	14047	2050	0.991295938104449	1	28149.1199992597
503	300	27	4	32.231884057971	11.5800330033003	14035	16.1594202898551	8.18646864686469	9922	1212	0.981376518218623	1	28149.1199992597
513	383	27	4	25.0144927536232	11.0839636913767	14653	21.5797101449275	12.7829046898638	16899	1322	0.985096870342772	1	28149.1199992597
